Component, Board, Invoice Number, Invoice Date, Board Quantity, Component Consumption, Total Component Quantity
110-CGC000037-M,115-PCA000037-E,150,20-Jul-15,5,1,5
111-CDA000039-M,001-PCA000062-E,141,13-Jul-15,10,1,10
111-CDA000039-M,001-PCA000062-E,145,15-Jul-15,34,1,34
111-CDA000039-M,001-PCA000062-E,189,21-Sep-15,6,1,6
111-CGC000012-M,170-PCA000003-E,95,05-Dec-14,11,1,11
111-CGC000012-M,170-PCA000003-E,97,06-Dec-14,24,1,24
111-CGC000012-M,170-PCA000003-E,100,08-Dec-14,17,1,17
111-CGC000012-M,170-PCA000003-E,102,09-Dec-14,6,1,6
111-CGC000012-M,170-PCA000003-E,104,10-Dec-14,9,1,9
111-CGC000012-M,170-PCA000003-E,107,15-Dec-14,58,1,58
111-CGC000012-M,170-PCA000003-E,111,19-Dec-14,10,1,10
111-CGC000012-M,170-PCA000003-E,287,18-Mar-15,1,1,1
111-CGC000012-M,170-PCA000003-E,288,18-Mar-15,10,1,10
111-CGC000012-M,170-PCA000003-E,292,19-Mar-15,22,1,22
111-CGC000012-M,170-PCA000003-E,298,20-Mar-15,22,1,22
111-CGC000012-M,170-PCA000003-E,301,23-Mar-15,15,1,15
111-CGC000012-M,170-PCA000003-E,303,25-Mar-15,6,1,6
111-CGC000012-M,170-PCA000003-E,312,26-Mar-15,4,1,4
111-CGC000012-M,170-PCA000003-E,356,30-Mar-15,16,1,16
111-CGC000012-M,170-PCA000003-E,357,30-Mar-15,12,1,12
111-CGC000012-M,170-PCA000003-E,358,30-Mar-15,20,1,20
111-CGC000012-M,170-PCA000003-E,359,30-Mar-15,12,1,12
111-CGC000012-M,170-PCA000003-E,16,21-Apr-15,1,1,1
111-CGC000012-M,170-PCA000003-E,65,27-May-15,5,1,5
111-CGC000012-M,170-PCA000003-E,77,03-Jun-15,1,1,1
111-CGC000012-M,170-PCA000003-E,84,06-Jun-15,11,1,11
111-CGC000012-M,170-PCA000003-E,84,06-Jun-15,14,1,14
111-CGC000012-M,170-PCA000003-E,86,10-Jun-15,50,1,50
111-CGC000012-M,170-PCA000003-E,93,11-Jun-15,20,1,20
111-CGC000012-M,170-PCA000003-E,96,13-Jun-15,35,1,35
111-CGC000012-M,170-PCA000003-E,98,15-Jun-15,6,1,6
111-CGC000012-M,170-PCA000003-E,101,16-Jun-15,5,1,5
111-CGC000012-M,170-PCA000003-E,105,18-Jun-15,16,1,16
111-CGC000012-M,170-PCA000003-E,111,23-Jun-15,9,1,9
111-CGC000012-M,170-PCA000003-E,117,26-Jun-15,10,1,10
111-CGC000012-M,170-PCA000003-E,119,30-Jun-15,6,1,6
111-CGC000012-M,170-PCA000003-E,126,02-Jul-15,5,1,5
111-CGC000012-M,170-PCA000003-E,127,07-Jul-15,3,1,3
111-CGC000012-M,170-PCA000003-E,190,21-Sep-15,1,1,1
111-CGC000012-M,170-PCA000003-E,236,19-Jan-16,2,1,2
115-CGC000019-M,115-PCA000084-E,128,31-Dec-14,7,1,7
115-CGC000019-M,115-PCA000084-E,216,24-Feb-15,1,1,1
115-CGC000019-M,115-PCA000084-E,238,04-Mar-15,1,1,1
115-CGC000019-M,115-PCA000084-E,262,13-Mar-15,3,1,3
115-CGC000019-M,115-PCA000084-E,268,14-Mar-15,5,1,5
115-CGC000019-M,115-PCA000084-E,270,14-Mar-15,3,1,3
115-CGC000019-M,115-PCA000084-E,285,18-Mar-15,2,1,2
115-CGC000019-M,115-PCA000084-E,294,19-Mar-15,1,1,1
115-CGC000019-M,115-PCA000084-E,307,25-Mar-15,1,1,1
115-CGC000019-M,115-PCA000084-E,318,27-Mar-15,1,1,1
115-CGC000019-M,115-PCA000084-E,328,30-Mar-15,6,1,6
115-CGC000019-M,115-PCA000084-E,341,30-Mar-15,9,1,9
115-CGC000019-M,115-PCA000084-E,342,30-Mar-15,10,1,10
115-CGC000019-M,115-PCA000084-E,343,30-Mar-15,10,1,10
115-CGC000019-M,115-PCA000084-E,51,22-May-15,3,1,3
115-CGC000019-M,115-PCA000084-E,108,19-Jun-15,1,1,1
115-CGC000019-M,115-PCA000084-E,159,24-Jul-15,1,1,1
115-CGC000019-M,115-PCA000084-E,195,21-Sep-15,1,1,1
115-CGC000019-M,115-PCA000084-E,197,25-Sep-15,17,1,17
115-CGC000019-M,115-PCA000084-E,235,19-Jan-16,1,1,1
115-PCC000006-E,115-PCA000007-E,192,11-Feb-15,21,1,21
115-PCC000006-E,115-PCA000007-E,199,16-Feb-15,18,1,18
115-PCC000006-E,115-PCA000007-E,338,30-Mar-15,6,1,6
115-PCC000009-E,115-PCA000037-E,202,18-Feb-15,3,1,3
115-PCC000009-E,115-PCA000037-E,207,20-Feb-15,15,1,15
115-PCC000009-E,115-PCA000037-E,213,23-Feb-15,8,1,8
115-PCC000009-E,115-PCA000037-E,214,24-Feb-15,13,1,13
115-PCC000009-E,115-PCA000037-E,219,25-Feb-15,1,1,1
115-PCC000009-E,115-PCA000037-E,248,07-Mar-15,1,1,1
115-PCC000009-E,115-PCA000037-E,263,13-Mar-15,5,1,5
115-PCC000009-E,115-PCA000037-E,267,14-Mar-15,4,1,4
115-PCC000009-E,115-PCA000037-E,279,17-Mar-15,3,1,3
115-PCC000009-E,115-PCA000037-E,280,17-Mar-15,1,1,1
115-PCC000009-E,115-PCA000037-E,283,18-Mar-15,1,1,1
115-PCC000009-E,115-PCA000037-E,295,19-Mar-15,1,1,1
115-PCC000009-E,115-PCA000037-E,309,26-Mar-15,11,1,11
115-PCC000009-E,115-PCA000037-E,326,30-Mar-15,5,1,5
115-PCC000009-E,115-PCA000037-E,337,30-Mar-15,15,1,15
