Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure,,Scrap+Balance-Unnacc,
999-CAC000667-E,157,114,1,0,42,42,0, true,0,1140,,,
102-PCCPSU003-E,416,380,30,0,6,6,0, true,0,1611,,,
115-PCC000013-E,156,85,0,71,72,0,72, true,0,1593,,-1,
130-PCC000053-E,155,84,1,0,70,70,0, true,0,1593,,,
141-PCC000001-E,528,110,0,0,418,418,0, true,0,1216,,,
141-PCC000011-E,979,574,1,0,404,404,0, true,0,1419,,,
401-PCC000007-E,109,85,0,0,24,24,0, true,0,1522,,,
998-CPC000599-M,460,457,0,0,3,3,0, true,0,1921,,,
160-CDC000068-M,881,684,0,0,197,197,0, true,0,1280,,,
998-CECSPP012-M,90,80,0,0,10,10,0, true,0, null,,,
998-CECSPP013-M,90,80,1,0,9,9,0, true,0, null,,,
998-CFC000001-M,380,380,0,0,0,0,0, true,0,1594,,,
999-ACC000220-E,100,100,0,0,0,0,0, true,0, null,,,
999-ACC316029-E,500,168,137,0,195,195,0, true,0,1144,,,
999-ACCE17751-E,839,408,9,0,422,422,0, true,0,1470,,,
999-ACCEA7751-E,1170,664,32,18,502,456,46, true,0,1610,,4,-28
999-ADC000029-E,870,861,1,0,8,8,0, true,0,1627,,,
999-AHC000001-E,842,252,35,0,555,555,0, true,0,1494,,,
999-AHC936001-E,973,160,0,501,900,312,588, true,0,119,,-87,
999-AIC000051-E,1733,861,72,629,854,171,683, true,0,1597,,18,-54
999-AJC000039-E,200,85,9,0,106,106,0, true,0, null,,,
999-AJC000062-E,207,40,2,0,165,165,0, true,0, null,,,
999-AOC000010-E,2502,1922,23,0,557,557,0, true,0,1577,,,
999-AOC000066-E,601,110,11,0,480,480,0, true,0,1224,,,
999-AOC000069-E,530,110,15,0,405,405,0, true,0,1227,,,
999-AOC000086-E,526,110,9,0,407,407,0, true,0,1243,,,
999-ARC000002-E,540,204,0,45,360,291,69, true,0,120,,-24,
999-AXC000049-E,793,510,36,92,270,155,115, true,0,1867,,13,-23
999-AXCT00086-E,300,60,5,0,235,235,0, true,0, null,,,
999-AYC000201-E,500,255,245,0,0,0,0, true,0, null,,,
999-AYC000208-E,500,170,330,0,0,0,0, true,0, null,,,
999-AYC000212-E,754,170,86,0,498,498,0, true,0,1144,,,
999-AYC000215-E,1840,1275,245,0,320,320,0, true,0,1344,,,
999-AYC000218-E,1750,1190,71,139,554,350,204, true,0,1632,,6,-65
999-AYC000219-E,500,255,126,0,119,119,0, true,0, null,,,
999-AYC000300-E,200,60,11,0,129,129,0, true,0, null,,,
999-AYC395509-E,550,394,156,0,0,0,0, true,0,1144,,,
999-AYC395516-E,353,84,164,0,105,105,0, true,0,1144,,,
999-AYC395533-E,1418,84,102,0,1232,1232,0, true,0,1491,,,
999-AYC815501-E,855,680,37,49,175,89,86, true,0,152,,0,-37
999-AZC000007-E,2690,1344,97,0,1249,1249,0, true,0,1453,,,
999-AZC000012-E,1000,425,575,0,0,0,0, true,0,1144,,,
999-BAC000002-E,1252,861,4,0,387,387,0, true,0,1597,,,
999-BBC000090-E,100,20,1,0,79,79,0, true,0, null,,,
999-BEC000111-E,304,168,2,0,134,134,0, true,0,1523,,,
999-BEC000142-E,271,85,8,0,178,178,0, true,0,1491,,,
999-BJC000008-E,1082,574,11,0,497,497,0, true,0,1580,,,
999-BUC000008-E,419,169,3,0,247,247,0, true,0,1577,,,
999-BVC000069-E,300,169,2,0,129,129,0, true,0,1144,,,
999-BVC000081-E,417,255,13,0,149,149,0, true,0,1345,,,
999-CAC000061-E,300,169,4,0,127,127,0, true,0, null,,,
999-CAC000406-E,130,85,0,0,45,45,0, true,0,1162,,,
999-CAC000407-E,159,85,24,0,50,50,0, true,0,1344,,,
999-CAC000413-E,343,189,7,0,147,147,0, true,0,1351,,,
999-CECSMX017-M,780,760,1,0,19,19,0, true,0,1907,,,
999-CECSRX012-M,30,20,0,0,10,10,0, true,0, null,,,
999-CFC000005-M,380,380,0,0,0,0,0, true,0,1594,,,
999-CFC000045-M,86,85,1,0,0,0,0, true,0,1342,,,
999-CFC000050-M,100,84,1,0,15,15,0, true,0, null,,,
999-CFC000072-M,985,574,0,0,411,411,0, true,0,1221,,,
999-CFC000101-M,512,220,0,10,293,282,11, true,0,1907,,-1,
999-CFC000102-M,512,220,0,0,292,292,0, true,0,1221,,,
999-CFC000112-M,30,20,0,0,10,10,0, true,0, null,,,
999-CFC000119-M,86,85,0,0,1,1,0, true,0,1324,,,
999-CFC000120-M,85,85,0,0,0,0,0, true,0,1594,,,
999-CLC000017-E,1098,202,15,0,881,881,0, true,0,1478,,,
999-CLC000091-E,5390,1184,35,0,4171,4171,0, true,0,1495,,,
999-CLC000200-E,200,20,1,0,179,179,0, true,0, null,,,
999-CLC000224-E,1119,220,20,0,879,879,0, true,0,1533,,,
999-CLC000260-E,98,20,11,0,67,67,0, true,0, null,,,
999-CLC000380-E,432,253,5,0,174,174,0, true,0,1144,,,
999-ACC000058-E,1307,694,341,0,272,272,0, true,0,33,,,
999-ACC000067-E,220,20,7,0,193,193,0, true,0, null,,,
999-ACC000093-E,200,40,21,0,139,139,0, true,0, null,,,
999-ACC000099-E,200,40,8,0,152,152,0, true,0, null,,,
999-ACC000126-E,146,80,10,0,56,56,0, true,0, null,,,
999-ACC000158-E,500,84,53,0,363,363,0, true,0,1145,,,
999-ACC000197-E,1000,425,447,0,128,128,0, true,0,1145,,,
999-ACC000238-E,500,80,22,0,398,398,0, true,0, null,,,
999-ACC000367-E,200,20,1,0,179,179,0, true,0, null,,,
999-ACC316255-E,400,84,192,0,124,124,0, true,0,1145,,,
999-ACC326027-E,430,84,74,0,272,272,0, true,0,1145,,,
999-ACC327501-E,20200,114,117,0,19969,19969,0, true,0,1553,,,
999-ACC7C6501-E,5060,3794,188,1,1080,1077,3, true,0,142,,186,-2
999-AHC000004-E,388,255,133,0,0,0,0, true,0,1345,,,
999-AIC000068-E,167,60,5,0,102,102,0, true,0, null,,,
999-AIC000069-E,150,40,1,0,109,109,0, true,0, null,,,
999-AJC000046-E,200,120,24,0,56,56,0, true,0, null,,,
999-AJC000069-E,200,20,23,0,157,157,0, true,0, null,,,
999-AJC000070-E,162,40,2,0,120,120,0, true,0, null,,,
999-AMC000007-E,328,170,158,0,0,0,0, true,0,1145,,,
